,id,users,duration,replication_sync,operation,database,type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,requests/s,failures/s
0,1,10,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1363075,0,1,1.3903504942868148,0,168,0.0,4547.226459471791,0.0
1,2,20,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1361781,0,3,3.4285358658991423,0,291,0.0,4543.278959909613,0.0
2,3,30,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1325985,0,5,5.454704238735732,0,326,0.0,4423.634636042529,0.0
3,4,40,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1370335,0,6,7.064669588093422,0,359,0.0,4571.054004742376,0.0
4,5,50,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1345537,0,8,9.113745664370434,0,383,0.0,4488.800411829387,0.0
5,6,60,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1304138,0,10,11.006862003867688,0,397,0.0,4350.775140256043,0.0
6,7,70,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1289343,0,11,12.860079125570154,0,415,0.0,4301.506121391822,0.0
7,8,80,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1267702,0,13,14.89783008940587,0,406,0.0,4229.023773373922,0.0
8,9,90,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1234258,0,14,16.850429974932307,0,513,0.0,4117.641449388959,0.0
9,10,100,300,WEAK,Write,Cassandra,query,Cassandra INSERT query,1219105,0,16,19.286410112336508,0,453,0.0,4066.426521255649,0.0
10,11,10,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1413133,0,1,1.289654972320369,0,356,0.0,4714.430582547268,0.0
11,12,20,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1433960,0,3,3.2194621886245085,0,225,0.0,4783.847259940565,0.0
12,13,30,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1377238,0,5,5.218750136142047,0,380,0.0,4594.653084354725,0.0
13,14,40,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1361037,0,6,7.116068850442714,0,402,0.0,4541.0796884070005,0.0
14,15,50,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1334944,0,8,9.160149039959729,0,414,0.0,4453.860173039195,0.0
15,16,60,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1307736,0,10,10.998417876390954,0,401,0.0,4362.777477540404,0.0
16,17,70,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1268796,0,11,13.11111321284115,0,378,0.0,4232.808167131386,0.0
17,18,80,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1266980,0,13,14.89964087830905,0,369,0.0,4226.739426152832,0.0
18,19,90,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1252766,0,14,16.66449759971136,0,317,0.0,4179.389985190487,0.0
19,20,100,300,STRONG,Write,Cassandra,query,Cassandra INSERT query,1247275,0,16,18.68513359122888,0,392,0.0,4160.9803943153,0.0
20,21,10,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4446,0,610,671.8414304993253,37,3911,0.0,14.832938932787853,0.0
21,22,20,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4905,0,1200,1214.2012232415902,16,3198,0.0,16.362716115699314,0.0
22,23,30,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4829,0,1800,1843.623938703665,17,5597,0.0,16.11037977751273,0.0
23,24,40,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4847,1,2400,2444.847121931092,19,5277,0.0,16.170704949243117,0.0033362296161013
24,25,50,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4913,3,3000,3010.0472216568287,22,6719,0.0,16.392332272771466,0.0100095658087348
25,26,60,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4840,45,3700,3645.528925619835,16,6613,0.0,16.146070648602407,0.1501184254518818
26,27,70,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4979,196,4200,4143.768226551517,16,7302,0.0,16.614190779585535,0.6540231758985269
27,28,80,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,4937,573,4900,4729.176220376747,16,7703,0.0,16.474740485477387,1.912097690536468
28,29,90,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,5028,1052,5300,5219.35600636436,110,8315,0.0,16.77468602503898,3.509739399033614
29,30,100,300,WEAK,Read,Cassandra,query,Cassandra SELECT query,5378,1323,5400,5413.931944960952,204,10396,0.0,17.943219006247823,4.41407191247041
30,31,10,300,STRONG,Read,Cassandra,query,Cassandra SELECT query,4716,0,600,633.8072519083969,22,2191,0.0,15.735244448449942,0.0
31,32,20,300,STRONG,Read,Cassandra,query,Cassandra SELECT query,4879,0,1200,1220.2158229145316,18,3509,0.0,16.276963998657624,0.0
